Instance,Formulation,MILP Objective,Upper Bound,Relative Gap,Time (s),MILP Status,MILP Term. Condition,LP Relaxation,Num. Binary Var.,Total Num. Var.,Num. Constraints
network_3_2_25_1_1,F4_UB_YS_Task,-1026.0,-1026.0,0.0,36.96,ok,optimal,525.71,11388.0,14690.0,4097.0
network_3_0_30_1_1,F4_UB_YS_Task,-794.0,-794.0,0.0,1008.11,ok,optimal,657.14,13578.0,17515.0,4882.0
network_3_1_30_1_1,F4_UB_YS_Task,-794.0,-794.0,0.0,1223.19,ok,optimal,657.14,13578.0,17515.0,4882.0
network_3_2_30_1_1,F4_UB_YS_Task,-794.0,-794.0,0.0,788.22,ok,optimal,657.14,13578.0,17515.0,4882.0
network_3_0_35_1_1,F4_UB_YS_Task,-504.0,-504.0,0.0,3682.48,ok,optimal,788.57,15768.0,20340.0,5667.0
network_3_1_35_1_1,F4_UB_YS_Task,-504.0,-504.0,0.0,5335.43,ok,optimal,788.57,15768.0,20340.0,5667.0
network_3_2_35_1_1,F4_UB_YS_Task,-504.0,-504.0,0.0,7925.76,ok,optimal,788.57,15768.0,20340.0,5667.0
network_3_0_40_1_1,F4_UB_YS_Task,-272.0,-272.0,0.0,16861.77,ok,optimal,920.0,17958.0,23165.0,6452.0
network_3_1_40_1_1,F4_UB_YS_Task,-272.0,-272.0,0.0,18806.92,ok,optimal,920.0,17958.0,23165.0,6452.0
network_3_2_40_1_1,F4_UB_YS_Task,-272.0,-272.0,0.0,12120.2,ok,optimal,920.0,17958.0,23165.0,6452.0
network_1_0_25_1_1,F5_UB_YS_Unit,2000.0,2000.0,0.0,25.97,ok,optimal,2484.0,8918.0,11440.0,2891.0
network_1_1_25_1_1,F5_UB_YS_Unit,1956.0,1956.0,0.0,39.7,ok,optimal,2484.0,8918.0,11440.0,2891.0
network_1_2_25_1_1,F5_UB_YS_Unit,1956.0,1956.0,0.0,40.39,ok,optimal,2484.0,8918.0,11440.0,2891.0
network_1_0_30_1_1,F5_UB_YS_Unit,2500.0,2500.0,0.0,95.96,ok,optimal,3024.0,10633.0,13640.0,3446.0
network_1_1_30_1_1,F5_UB_YS_Unit,2484.0,2484.0,0.0,255.55,ok,optimal,3024.0,10633.0,13640.0,3446.0
network_1_2_30_1_1,F5_UB_YS_Unit,2484.0,2484.0,0.0,204.5,ok,optimal,3024.0,10633.0,13640.0,3446.0
network_1_0_35_1_1,F5_UB_YS_Unit,2916.0,2916.0,0.0,1008.9,ok,optimal,3564.0,12348.0,15840.0,4001.0
network_1_1_35_1_1,F5_UB_YS_Unit,2916.0,2916.0,0.0,1091.33,ok,optimal,3564.0,12348.0,15840.0,4001.0
network_1_2_35_1_1,F5_UB_YS_Unit,2916.0,2916.0,0.0,1134.28,ok,optimal,3564.0,12348.0,15840.0,4001.0
network_1_0_40_1_1,F5_UB_YS_Unit,3440.0,3440.27,0.0,54577.49,ok,optimal,4104.0,14063.0,18040.0,4556.0
network_1_2_40_1_1,F5_UB_YS_Unit,3440.0,3440.2,0.0,13897.06,ok,optimal,4104.0,14063.0,18040.0,4556.0
network_3_0_25_1_1,F5_UB_YS_Unit,-1026.0,-1026.0,0.0,75.85,ok,optimal,525.71,11388.0,14690.0,4087.0
network_3_1_25_1_1,F5_UB_YS_Unit,-1026.0,-1026.0,0.0,133.56,ok,optimal,525.71,11388.0,14690.0,4087.0
network_3_2_25_1_1,F5_UB_YS_Unit,-1026.0,-1026.0,0.0,49.14,ok,optimal,525.71,11388.0,14690.0,4087.0
network_3_0_30_1_1,F5_UB_YS_Unit,-794.0,-794.0,0.0,809.14,ok,optimal,657.14,13578.0,17515.0,4872.0
network_3_1_30_1_1,F5_UB_YS_Unit,-794.0,-794.0,0.0,1200.72,ok,optimal,657.14,13578.0,17515.0,4872.0
network_3_2_30_1_1,F5_UB_YS_Unit,-794.0,-794.0,0.0,1173.26,ok,optimal,657.14,13578.0,17515.0,4872.0
network_3_0_35_1_1,F5_UB_YS_Unit,-504.0,-504.0,0.0,3322.69,ok,optimal,788.57,15768.0,20340.0,5657.0
network_3_1_35_1_1,F5_UB_YS_Unit,-504.0,-504.0,0.0,3788.05,ok,optimal,788.57,15768.0,20340.0,5657.0
network_3_2_35_1_1,F5_UB_YS_Unit,-504.0,-504.0,0.0,4777.3,ok,optimal,788.57,15768.0,20340.0,5657.0
network_3_0_40_1_1,F5_UB_YS_Unit,-272.0,-272.0,0.0,12050.22,ok,optimal,920.0,17958.0,23165.0,6442.0
network_3_1_40_1_1,F5_UB_YS_Unit,-272.0,-272.0,0.0,10879.97,ok,optimal,920.0,17958.0,23165.0,6442.0
network_3_2_40_1_1,F5_UB_YS_Unit,-272.0,-272.0,0.0,24367.85,ok,optimal,920.0,17958.0,23165.0,6442.0
network_1_0_25_1_1,F6_UB_X_Task,2000.0,2000.0,0.0,62.62,ok,optimal,2484.0,8918.0,11440.0,2898.0
network_1_1_25_1_1,F6_UB_X_Task,1956.0,1956.0,0.0,56.97,ok,optimal,2484.0,8918.0,11440.0,2898.0
network_1_2_25_1_1,F6_UB_X_Task,1956.0,1956.0,0.0,30.17,ok,optimal,2484.0,8918.0,11440.0,2898.0
network_1_0_30_1_1,F6_UB_X_Task,2500.0,2500.0,0.0,91.92,ok,optimal,3024.0,10633.0,13640.0,3453.0
network_1_1_30_1_1,F6_UB_X_Task,2484.0,2484.0,0.0,124.94,ok,optimal,3024.0,10633.0,13640.0,3453.0
network_1_2_30_1_1,F6_UB_X_Task,2484.0,2484.0,0.0,149.88,ok,optimal,3024.0,10633.0,13640.0,3453.0
network_1_0_35_1_1,F6_UB_X_Task,2916.0,2916.0,0.0,1893.68,ok,optimal,3564.0,12348.0,15840.0,4008.0
network_1_1_35_1_1,F6_UB_X_Task,2916.0,2916.0,0.0,1278.03,ok,optimal,3564.0,12348.0,15840.0,4008.0
network_1_2_35_1_1,F6_UB_X_Task,2916.0,2916.0,0.0,978.78,ok,optimal,3564.0,12348.0,15840.0,4008.0
network_1_0_40_1_1,F6_UB_X_Task,3440.0,3440.27,0.0,10854.29,ok,optimal,4104.0,14063.0,18040.0,4563.0
network_1_1_40_1_1,F6_UB_X_Task,3440.0,3440.2,0.0,15436.79,ok,optimal,4104.0,14063.0,18040.0,4563.0
network_1_2_40_1_1,,,,,,,,,,,
network_3_0_25_1_1,F6_UB_X_Task,-1026.0,-1026.0,0.0,93.45,ok,optimal,525.71,11388.0,14690.0,4100.0
network_3_1_25_1_1,F6_UB_X_Task,-1026.0,-1026.0,0.0,66.25,ok,optimal,525.71,11388.0,14690.0,4100.0
network_3_2_25_1_1,F6_UB_X_Task,-1026.0,-1026.0,0.0,60.06,ok,optimal,525.71,11388.0,14690.0,4100.0
network_3_0_30_1_1,F6_UB_X_Task,-794.0,-794.0,0.0,1122.9,ok,optimal,657.14,13578.0,17515.0,4885.0
network_3_1_30_1_1,F6_UB_X_Task,-794.0,-794.0,0.0,1365.56,ok,optimal,657.14,13578.0,17515.0,4885.0
network_3_2_30_1_1,F6_UB_X_Task,-794.0,-794.0,0.0,1393.2,ok,optimal,657.14,13578.0,17515.0,4885.0
network_3_0_35_1_1,F6_UB_X_Task,-504.0,-504.0,0.0,4026.53,ok,optimal,788.57,15768.0,20340.0,5670.0
network_3_1_35_1_1,F6_UB_X_Task,-504.0,-504.0,0.0,3179.92,ok,optimal,788.57,15768.0,20340.0,5670.0
network_3_2_35_1_1,F6_UB_X_Task,-504.0,-504.0,0.0,7065.33,ok,optimal,788.57,15768.0,20340.0,5670.0
network_3_0_40_1_1,F6_UB_X_Task,-272.0,-272.0,0.0,19265.02,ok,optimal,920.0,17958.0,23165.0,6455.0
network_3_1_40_1_1,F6_UB_X_Task,-272.0,-272.0,0.0,22420.92,ok,optimal,920.0,17958.0,23165.0,6455.0
network_3_2_40_1_1,F6_UB_X_Task,-272.0,-272.0,0.0,13676.59,ok,optimal,920.0,17958.0,23165.0,6455.0
network_1_0_25_1_1,F7_UB_X_Unit,2000.0,2000.0,0.0,56.63,ok,optimal,2268.0,8918.0,11440.0,2893.0
network_1_1_25_1_1,F7_UB_X_Unit,1956.0,1956.0,0.0,90.46,ok,optimal,2268.0,8918.0,11440.0,2893.0
network_1_2_25_1_1,F7_UB_X_Unit,1956.0,1956.0,0.0,37.61,ok,optimal,2268.0,8918.0,11440.0,2893.0
network_1_0_30_1_1,F7_UB_X_Unit,2500.0,2500.0,0.0,286.25,ok,optimal,2700.0,10633.0,13640.0,3448.0
network_1_1_30_1_1,F7_UB_X_Unit,2484.0,2484.0,0.0,274.42,ok,optimal,2700.0,10633.0,13640.0,3448.0
network_1_2_30_1_1,F7_UB_X_Unit,2484.0,2484.0,0.0,401.97,ok,optimal,2700.0,10633.0,13640.0,3448.0
network_1_0_35_1_1,,,,,,,,,,,
network_1_2_35_1_1,,,,,,,,,,,
network_1_1_40_1_1,,,,,,,,,,,
network_1_2_40_1_1,,,,,,,,,,,
network_3_0_25_1_1,F7_UB_X_Unit,-1026.0,-1026.0,0.0,48.88,ok,optimal,473.14,11388.0,14690.0,4088.0
network_3_1_25_1_1,F7_UB_X_Unit,-1026.0,-1026.0,0.0,57.65,ok,optimal,473.14,11388.0,14690.0,4088.0
network_3_2_25_1_1,F7_UB_X_Unit,-1026.0,-1026.0,0.0,59.24,ok,optimal,473.14,11388.0,14690.0,4088.0
network_3_0_30_1_1,F7_UB_X_Unit,-794.0,-794.0,0.0,909.23,ok,optimal,578.29,13578.0,17515.0,4873.0
network_3_1_30_1_1,F7_UB_X_Unit,-794.0,-794.0,0.0,874.13,ok,optimal,578.29,13578.0,17515.0,4873.0
network_3_2_30_1_1,F7_UB_X_Unit,-794.0,-794.0,0.0,1340.33,ok,optimal,578.29,13578.0,17515.0,4873.0
network_3_0_35_1_1,F7_UB_X_Unit,-504.0,-504.0,0.0,12943.6,ok,optimal,709.71,15768.0,20340.0,5658.0
network_3_1_35_1_1,F7_UB_X_Unit,-504.0,-504.0,0.0,5939.31,ok,optimal,709.71,15768.0,20340.0,5658.0
network_3_2_35_1_1,F7_UB_X_Unit,-504.0,-504.0,0.0,4655.95,ok,optimal,709.71,15768.0,20340.0,5658.0
network_3_0_40_1_1,F7_UB_X_Unit,-272.0,-272.0,0.0,39355.58,ok,optimal,814.86,17958.0,23165.0,6443.0
network_3_1_40_1_1,F7_UB_X_Unit,-272.0,-272.0,0.0,30793.06,ok,optimal,814.86,17958.0,23165.0,6443.0
network_3_2_40_1_1,F7_UB_X_Unit,-272.0,-272.0,0.0,23298.08,ok,optimal,814.86,17958.0,23165.0,6443.0
network_1_0_25_1_1,F8_UB_X_Group_K,2000.0,2000.0,0.0,19.19,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_1_25_1_1,F8_UB_X_Group_K,1956.0,1956.0,0.0,28.49,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_2_25_1_1,F8_UB_X_Group_K,1956.0,1956.0,0.0,28.49,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_0_30_1_1,F8_UB_X_Group_K,2500.0,2500.0,0.0,85.44,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_1_30_1_1,F8_UB_X_Group_K,2484.0,2484.0,0.0,92.34,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_2_30_1_1,F8_UB_X_Group_K,2484.0,2484.0,0.0,105.21,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_0_35_1_1,F8_UB_X_Group_K,2916.0,2916.0,0.0,882.46,ok,optimal,3564.0,12348.0,15840.0,3996.0
network_1_1_35_1_1,F8_UB_X_Group_K,2916.0,2916.27,0.0,2131.76,ok,optimal,3564.0,12348.0,15840.0,3996.0
network_1_2_35_1_1,F8_UB_X_Group_K,2916.0,2916.0,0.0,517.89,ok,optimal,3564.0,12348.0,15840.0,3996.0
network_1_0_40_1_1,,,,,,,,,,,
network_1_1_40_1_1,F8_UB_X_Group_K,3440.0,3440.2,0.0,42529.47,ok,optimal,4104.0,14063.0,18040.0,4551.0
network_1_2_40_1_1,F8_UB_X_Group_K,3440.0,3440.23,0.0,28293.41,ok,optimal,4104.0,14063.0,18040.0,4551.0
network_3_0_25_1_1,F8_UB_X_Group_K,-1026.0,-1026.0,0.0,76.22,ok,optimal,525.71,11388.0,14690.0,4082.0
network_3_1_25_1_1,F8_UB_X_Group_K,-1026.0,-1026.0,0.0,37.91,ok,optimal,525.71,11388.0,14690.0,4082.0
network_3_2_25_1_1,F8_UB_X_Group_K,-1026.0,-1026.0,0.0,70.02,ok,optimal,525.71,11388.0,14690.0,4082.0
network_3_0_30_1_1,F8_UB_X_Group_K,-794.0,-794.0,0.0,1343.83,ok,optimal,657.14,13578.0,17515.0,4867.0
network_3_1_30_1_1,F8_UB_X_Group_K,-794.0,-794.0,0.0,1323.08,ok,optimal,657.14,13578.0,17515.0,4867.0
network_3_2_30_1_1,F8_UB_X_Group_K,-794.0,-794.0,0.0,1017.46,ok,optimal,657.14,13578.0,17515.0,4867.0
network_3_0_35_1_1,F8_UB_X_Group_K,-504.0,-504.0,0.0,3290.48,ok,optimal,788.57,15768.0,20340.0,5652.0
network_3_1_35_1_1,F8_UB_X_Group_K,-504.0,-504.0,0.0,3976.0,ok,optimal,788.57,15768.0,20340.0,5652.0
network_3_2_35_1_1,F8_UB_X_Group_K,-504.0,-504.0,0.0,4504.6,ok,optimal,788.57,15768.0,20340.0,5652.0
network_3_0_40_1_1,F8_UB_X_Group_K,-272.0,-272.0,0.0,7665.1,ok,optimal,920.0,17958.0,23165.0,6437.0
network_3_1_40_1_1,F8_UB_X_Group_K,-272.0,-272.0,0.0,26589.42,ok,optimal,920.0,17958.0,23165.0,6437.0
network_3_2_40_1_1,F8_UB_X_Group_K,-272.0,-272.0,0.0,10770.08,ok,optimal,920.0,17958.0,23165.0,6437.0
network_1_0_25_1_1,F9_UB_YS_Group_K,2000.0,2000.0,0.0,41.84,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_1_25_1_1,F9_UB_YS_Group_K,1956.0,1956.0,0.0,30.89,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_2_25_1_1,F9_UB_YS_Group_K,1956.0,1956.0,0.0,38.1,ok,optimal,2484.0,8918.0,11440.0,2886.0
network_1_0_30_1_1,F9_UB_YS_Group_K,2500.0,2500.0,0.0,152.45,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_1_30_1_1,F9_UB_YS_Group_K,2484.0,2484.0,0.0,168.43,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_2_30_1_1,F9_UB_YS_Group_K,2484.0,2484.0,0.0,116.72,ok,optimal,3024.0,10633.0,13640.0,3441.0
network_1_0_35_1_1,F9_UB_YS_Group_K,2916.0,2916.0,0.0,444.8,ok,optimal,3564.0,12348.0,15840.0,3996.0
network_1_1_35_1_1,F9_UB_YS_Group_K,2916.0,2916.0,0.0,1594.05,ok,optimal,3564.0,12348.0,15840.0,3996.0
network_1_2_35_1_1,F9_UB_YS_Group_K,2916.0,2916.0,0.0,1897.14,ok,optimal,3564.0,12348.0,15840.0,3996.0
